capture,camera_arm,depth_mode,method,repeat,formal,status,ok,reference_status,reference_corners,reference_rmse_px,center_mm,candidate_center_mm,delta_xyz_mm,center_distance_mm,delta_local_box_axes_mm,rotation_delta_deg,rotation_delta_sym180_deg,yaw_delta_sym180_deg,height_axis_angle_deg,opening_center_delta_mm,algorithm_seconds,fdp_client_seconds,container_wall_seconds,fast_path_seconds,fallback_seconds,fallback_total_seconds,fallback_triggered,rejection_reasons,fallback_reason,oom_killed,exit_code
L04_00_wrist_charuco_20260915_104435_858773771,left,lingbot,FDP,rep01,True,accepted,True,available,78,0.31868693232536316,"[696.181253001923,22.65280530940661,528.8840506918524]",,"[2.3524107422936424,-1.3666095296020753,-12.695469170692753]",12.983697292022326,"[1.3124110230686055,2.710614410332337,-12.629589945674986]",178.78166556120647,2.378974389019502,1.278432595598872,2.0432488005272176,"[4.54313061781475,-3.619430665234461,-11.301070134641211]",0.937560181999288,1.172203914999045,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,lingbot,FDP,rep02,True,accepted,True,available,78,0.31868693232536316,"[696.181253001923,22.65280530940661,528.8840506918524]",,"[2.3524107422936424,-1.3666095296020753,-12.695469170692753]",12.983697292022326,"[1.3124110230686055,2.710614410332337,-12.629589945674986]",178.78166556120647,2.378974389019502,1.278432595598872,2.0432488005272176,"[4.54313061781475,-3.619430665234461,-11.301070134641211]",0.9419079499984946,1.176076447000014,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,lingbot,FDP,rep03,True,accepted,True,available,78,0.31868693232536316,"[696.181253001923,22.65280530940661,528.8840506918524]",,"[2.3524107422936424,-1.3666095296020753,-12.695469170692753]",12.983697292022326,"[1.3124110230686055,2.710614410332337,-12.629589945674986]",178.78166556120647,2.378974389019502,1.278432595598872,2.0432488005272176,"[4.54313061781475,-3.619430665234461,-11.301070134641211]",0.8799969649990089,1.1143114260012226,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,lingbot,FDP,rep04,True,accepted,True,available,78,0.31868693232536316,"[696.181253001923,22.65280530940661,528.8840506918524]",,"[2.3524107422936424,-1.3666095296020753,-12.695469170692753]",12.983697292022326,"[1.3124110230686055,2.710614410332337,-12.629589945674986]",178.78166556120647,2.378974389019502,1.278432595598872,2.0432488005272176,"[4.54313061781475,-3.619430665234461,-11.301070134641211]",0.9110084950007149,1.145824100000027,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,lingbot,FDP,rep05,True,accepted,True,available,78,0.31868693232536316,"[696.181253001923,22.65280530940661,528.8840506918524]",,"[2.3524107422936424,-1.3666095296020753,-12.695469170692753]",12.983697292022326,"[1.3124110230686055,2.710614410332337,-12.629589945674986]",178.78166556120647,2.378974389019502,1.278432595598872,2.0432488005272176,"[4.54313061781475,-3.619430665234461,-11.301070134641211]",0.952524007001557,1.1862089019996347,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,lingbot,FDP,warmup,False,accepted,True,available,78,0.31868693232536316,"[696.181253001923,22.65280530940661,528.8840506918524]",,"[2.3524107422936424,-1.3666095296020753,-12.695469170692753]",12.983697292022326,"[1.3124110230686055,2.710614410332337,-12.629589945674986]",178.78166556120647,2.378974389019502,1.278432595598872,2.0432488005272176,"[4.54313061781475,-3.619430665234461,-11.301070134641211]",0.9505733770001825,1.1879433160011104,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,raw,FDP,rep01,True,accepted,True,available,78,0.31868693232536316,"[694.8308901352192,25.458492121702037,529.9563132004159]",,"[1.0020478755897733,1.4390772826933518,-11.623206662129238]",11.754742722880138,"[-1.4964738797243864,1.3484757980804867,-11.580852966444114]",179.2580980820809,2.1918366524609736,0.8099713525251957,2.062428318731812,"[2.430138504088908,-1.3799838885649798,-10.204502790344128]",0.9545316750009079,1.1897302620000119,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,raw,FDP,rep02,True,accepted,True,available,78,0.31868693232536316,"[694.8308901352192,25.458492121702037,529.9563132004159]",,"[1.0020478755897733,1.4390772826933518,-11.623206662129238]",11.754742722880138,"[-1.4964738797243864,1.3484757980804867,-11.580852966444114]",179.2580980820809,2.1918366524609736,0.8099713525251957,2.062428318731812,"[2.430138504088908,-1.3799838885649798,-10.204502790344128]",0.9333837300000596,1.168664703000104,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,raw,FDP,rep03,True,accepted,True,available,78,0.31868693232536316,"[694.8308901352192,25.458492121702037,529.9563132004159]",,"[1.0020478755897733,1.4390772826933518,-11.623206662129238]",11.754742722880138,"[-1.4964738797243864,1.3484757980804867,-11.580852966444114]",179.2580980820809,2.1918366524609736,0.8099713525251957,2.062428318731812,"[2.430138504088908,-1.3799838885649798,-10.204502790344128]",0.947164746999988,1.1838810879999073,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,raw,FDP,rep04,True,accepted,True,available,78,0.31868693232536316,"[694.8308901352192,25.458492121702037,529.9563132004159]",,"[1.0020478755897733,1.4390772826933518,-11.623206662129238]",11.754742722880138,"[-1.4964738797243864,1.3484757980804867,-11.580852966444114]",179.2580980820809,2.1918366524609736,0.8099713525251957,2.062428318731812,"[2.430138504088908,-1.3799838885649798,-10.204502790344128]",0.9407645510000293,1.1754006779992778,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,raw,FDP,rep05,True,accepted,True,available,78,0.31868693232536316,"[694.8308901352192,25.458492121702037,529.9563132004159]",,"[1.0020478755897733,1.4390772826933518,-11.623206662129238]",11.754742722880138,"[-1.4964738797243864,1.3484757980804867,-11.580852966444114]",179.2580980820809,2.1918366524609736,0.8099713525251957,2.062428318731812,"[2.430138504088908,-1.3799838885649798,-10.204502790344128]",0.9415620109994052,1.1773650630002521,,,,,,[],,False,0
L04_00_wrist_charuco_20260915_104435_858773771,left,raw,FDP,warmup,False,accepted,True,available,78,0.31868693232536316,"[694.8308901352192,25.458492121702037,529.9563132004159]",,"[1.0020478755897733,1.4390772826933518,-11.623206662129238]",11.754742722880138,"[-1.4964738797243864,1.3484757980804867,-11.580852966444114]",179.2580980820809,2.1918366524609736,0.8099713525251957,2.062428318731812,"[2.430138504088908,-1.3799838885649798,-10.204502790344128]",1.0156667739993281,1.2512642130004679,,,,,,[],,False,0
