capture,method,depth_used,camera_arm,board_reference_status,board_corners,formal_attempts,accepted_count,rejected_count,status_summary,reported_source,reported_delta_x_mm,reported_delta_y_mm,reported_delta_z_mm,reported_center_distance_mm,reported_yaw_delta_sym180_deg,formal_accepted_delta_x_mm,formal_accepted_delta_y_mm,formal_accepted_delta_z_mm,formal_accepted_center_distance_mm,formal_accepted_yaw_delta_sym180_deg,rejected_candidate_delta_x_mm,rejected_candidate_delta_y_mm,rejected_candidate_delta_z_mm,rejected_candidate_center_distance_mm,rejected_candidate_yaw_delta_sym180_deg,primary_time_s,time_p90_s,accepted_time_s,rejected_time_s,container_wall_median_s,rejection_reasons,fallback_triggered_count
L04_00_wrist_charuco_20260915_104435_858773771,R1F,lingbot,left,available,78,5,0,5,rejected,rejected_candidate_diagnostic,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,,,,,,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,22.186490878997574,22.369731935398885,,22.186490878997574,23.22603040100148,"[""ambiguous_inner_outer_surface_hypotheses""]",5
L04_10_wrist_charuco_20260915_104717_786588568,FDP,raw,left,available,77,5,5,0,accepted,formal_accepted,3.4154760267975925,-4.653217871127685,-8.846550592283453,10.563113671055607,0.6404795956989915,3.4154760267975925,-4.653217871127685,-8.846550592283453,10.563113671055607,0.6404795956989915,,,,,,1.1789033019995259,1.193954899000164,1.1789033019995259,,,[],0
L04_10_wrist_charuco_20260915_104717_786588568,V5-original,lingbot,left,available,77,5,5,0,accepted,formal_accepted,4.399743957288593,-7.200842860839138,-9.765700371441643,12.906540533426101,0.4135093229847371,4.399743957288593,-7.200842860839138,-9.765700371441643,12.906540533426101,0.4135093229847371,,,,,,21.405542167998647,21.580449700000464,21.405542167998647,,22.22482049500104,[],0
L04_10_wrist_charuco_20260915_104717_786588568,BCM,lingbot,left,available,77,5,5,0,accepted,formal_accepted,4.399743957288593,-7.200842860839138,-9.765700371441643,12.906540533426101,0.4135093229847371,4.399743957288593,-7.200842860839138,-9.765700371441643,12.906540533426101,0.4135093229847371,,,,,,21.193111132000922,21.277747465397262,21.193111132000922,,22.228759910998633,[],0
L04_10_wrist_charuco_20260915_104717_786588568,R1,lingbot,left,available,77,5,5,0,accepted,formal_accepted,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,,,,,,0.9863496869984374,0.9987885461974656,0.9863496869984374,,1.9712080960016465,[],0
L04_10_wrist_charuco_20260915_104717_786588568,RM,lingbot,left,available,77,5,5,0,accepted,formal_accepted,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,,,,,,8.358679256998585,8.412158185199951,8.358679256998585,,9.391330829999788,[],0
L04_10_wrist_charuco_20260915_104717_786588568,R1F,lingbot,left,available,77,5,5,0,accepted,formal_accepted,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,,,,,,0.9846411210019141,0.999491516600392,0.9846411210019141,,2.020999610002036,[],0
L04_wrist_charuco_20260915_104358_532673829,FDP,raw,left,available,71,5,5,0,accepted,formal_accepted,1.6942877740117046,-2.421034165670827,-9.970053733977746,10.398749393600875,0.31355848497531724,1.6942877740117046,-2.421034165670827,-9.970053733977746,10.398749393600875,0.31355848497531724,,,,,,1.1956623240002955,1.2778885664010886,1.1956623240002955,,,[],0
L04_wrist_charuco_20260915_104358_532673829,V5-original,lingbot,left,available,71,5,0,5,rejected,rejected_candidate_diagnostic,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,,,,,,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,22.15574007200121,22.407567295397165,,22.15574007200121,22.975993511001434,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_wrist_charuco_20260915_104358_532673829,BCM,lingbot,left,available,71,5,0,5,rejected,rejected_candidate_diagnostic,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,,,,,,3.5671231062082143,-4.816245186151726,-14.871848187297587,16.03410282660058,0.20283869389214715,22.242704752999998,22.454681331001485,,22.242704752999998,23.27697001499837,"[""ambiguous_inner_outer_surface_hypotheses""]",0
