frame,group,accepted,algorithm_s,center_vs_baseline_mm,yaw_vs_baseline_deg,center_vs_FDP_mm,yaw_vs_FDP_deg,rim_vs_FDP_mm,short_edge_max_vs_FDP_mm,reasons,best_sources
D03,M,False,2.324512260966003,16.488437192231967,75.04852572874367,19.014972329941287,75.36266792320602,20.808437518626324,252.26892428255726,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D04,BCM,True,4.458922173944302,0.0,0.0,11.236605816526307,1.2032819141946416,11.995388428876607,20.579547137491414,,['mesh_coarse_projection']
D04,CM,True,3.981557033956051,0.0,0.0,11.236605816526307,1.2032819141946416,11.995388428876607,20.579547137491414,,['mesh_coarse_projection']
D04,BM,True,3.119302056962624,0.8693960469178097,0.1689075817266505,11.905421471697533,1.0343743324679913,12.480376657697613,20.762458641678453,,['mesh_coarse_projection']
D04,M,True,2.7373853850876912,0.8693960469178097,0.1689075817266505,11.905421471697533,1.0343743324679913,12.480376657697613,20.762458641678453,,['mesh_coarse_projection']
D05,BCM,True,4.980460962979123,0.0,0.0,9.605057839453352,1.3722135930323345,9.842767100642419,15.506369358698782,,['mesh_coarse_projection']
D05,CM,True,3.301449681050144,0.0,0.0,9.605057839453352,1.3722135930323345,9.842767100642419,15.506369358698782,,['mesh_coarse_projection']
D05,BM,False,3.2601484559709206,1.2999540219326267,0.02075118940274766,9.227650046314123,1.3929647824350821,9.435219680317433,14.945895609176958,ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D05,M,False,1.723682028008625,1.2999540219326267,0.02075118940274766,9.227650046314123,1.3929647824350821,9.435219680317433,14.945895609176958,ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D06,BCM,True,4.580439557088539,0.0,0.0,10.281529092623147,0.8204679997051427,11.437070596063904,16.77524719570868,,['mesh_coarse_projection']
D06,CM,True,4.14154703496024,0.0,0.0,10.281529092623147,0.8204679997051427,11.437070596063904,16.77524719570868,,['mesh_coarse_projection']
D06,BM,True,2.855659816064872,0.0,0.0,10.281529092623147,0.8204679997051427,11.437070596063904,16.77524719570868,,['mesh_coarse_projection']
D06,M,True,2.475683875964023,0.0,0.0,10.281529092623147,0.8204679997051427,11.437070596063904,16.77524719570868,,['mesh_coarse_projection']
D07,BCM,True,4.638955935020931,0.0,0.0,8.078626621570544,1.5665481778685317,9.053905078033793,16.887634891688084,,['mesh_coarse_projection']
D07,CM,True,3.4833238270366564,0.1563632874334986,0.040544118906091144,8.108121765569013,1.5260040589624404,9.040459862015727,16.77261534122882,,['mesh_coarse_projection']
D07,BM,True,2.9647008939646184,0.1563632874334986,0.040544118906091144,8.108121765569013,1.5260040589624404,9.040459862015727,16.77261534122882,,['mesh_coarse_projection']
D07,M,True,1.7320568530121818,0.1563632874334986,0.040544118906091144,8.108121765569013,1.5260040589624404,9.040459862015727,16.77261534122882,,['mesh_coarse_projection']
D08,BCM,True,4.679548976011574,0.0,0.0,8.647378004463514,0.12406380178281314,11.945674533617334,13.020355951428831,,['B_rim']
D08,CM,False,3.455481989076361,26.359200361899802,72.91547988319714,32.51496587464861,72.79141608141433,34.26286301453898,266.88803809272855,visible_shell_residual_or_coverage_too_low,['mesh_coarse_projection']
D08,BM,True,3.3763779789442196,0.0,0.0,8.647378004463514,0.12406380178281314,11.945674533617334,13.020355951428831,,['B_rim']
D08,M,False,2.124580509029329,26.359200361899802,72.91547988319714,32.51496587464861,72.79141608141433,34.26286301453898,266.88803809272855,visible_shell_residual_or_coverage_too_low,['mesh_coarse_projection']
D09,BCM,True,5.449794608983211,0.0,0.0,8.876458551760798,0.8476053630795082,11.248329136709618,14.942012725917666,,['C_multiplane_joint']
D09,CM,True,3.8854037419660017,0.0,0.0,8.876458551760798,0.8476053630795082,11.248329136709618,14.942012725917666,,['C_multiplane_joint']
D09,BM,True,4.225573584088124,0.1590370400220585,0.06369066176845234,8.748810528516197,0.9112960248479606,11.123672000226014,15.006630394252229,,['B_rim']
D09,M,False,2.700412095990032,27.874265647286112,75.05176947529849,35.782341546868956,74.20416411221898,37.79615506943894,276.2404982456594,visible_shell_residual_or_coverage_too_low,['mesh_coarse_projection']
D10,BCM,True,5.9045403429772705,0.0,0.0,7.650579895214412,1.3884895447408594,7.797660652060339,12.444687314503417,,['mesh_coarse_projection']
D10,CM,True,4.160110387951136,0.0,0.0,7.650579895214412,1.3884895447408594,7.797660652060339,12.444687314503417,,['mesh_coarse_projection']
D10,BM,True,4.760178155032918,0.0,0.0,7.650579895214412,1.3884895447408594,7.797660652060339,12.444687314503417,,['mesh_coarse_projection']
D10,M,True,2.8690248270286247,0.0,0.0,7.650579895214412,1.3884895447408594,7.797660652060339,12.444687314503417,,['mesh_coarse_projection']
D11,BCM,True,5.637896594940685,0.0,0.0,10.079189750986878,1.2359028722529273,10.373619365325059,15.802720886521275,,['mesh_coarse_projection']
D11,CM,True,3.9464377249823883,0.0,0.0,10.079189750986878,1.2359028722529273,10.373619365325059,15.802720886521275,,['mesh_coarse_projection']
D11,BM,True,3.9660903150215745,0.0,0.0,10.079189750986878,1.2359028722529273,10.373619365325059,15.802720886521275,,['mesh_coarse_projection']
D11,M,True,2.384756051003933,0.0,0.0,10.079189750986878,1.2359028722529273,10.373619365325059,15.802720886521275,,['mesh_coarse_projection']
D12,BCM,False,5.432706383056939,0.0,0.0,17.92523233527832,2.1508156338349416,23.67012452335949,29.851096179876684,visible_shell_residual_or_coverage_too_low;mask_touches_image_border,['C_multiplane_joint']
D12,CM,False,3.4282929520122707,0.0,0.0,17.92523233527832,2.1508156338349416,23.67012452335949,29.851096179876684,visible_shell_residual_or_coverage_too_low;mask_touches_image_border,['C_multiplane_joint']
D12,BM,False,4.513553263968788,0.10419861804401608,0.022926326332394657,17.947348482896558,2.1278893075025467,23.693507572924354,29.795360051180502,visible_shell_residual_or_coverage_too_low;mask_touches_image_border,['B_rim']
D12,M,False,2.329573708004318,17.51402229720719,70.5028008888432,31.725458645971504,72.65361652267813,36.582292002648884,273.08191347993295,visible_shell_residual_or_coverage_too_low;mask_touches_image_border;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
