capture,method,depth_used,camera_arm,board_reference_status,board_corners,formal_attempts,accepted_count,reference_scorable,status_summary,delta_x_mm,delta_y_mm,delta_z_mm,center_distance_mm,yaw_delta_sym180_deg,rotation_delta_sym180_deg,primary_time_s,time_p90_s,container_wall_median_s,time_definition,rejection_reasons,fallback_triggered_count
R03_wrist_charuco_20260915_103743_184821162,RM,lingbot,right,available,100,5,0,0,rejected,,,,,,,8.07476352500089,8.169773596399319,9.091830628996831,S1 Docker后端时间,"[""mask_touches_image_border"",""visible_shell_residual_or_coverage_too_low""]",0
R03_wrist_charuco_20260915_103743_184821162,R1F,lingbot,right,available,100,5,0,0,rejected,,,,,,,25.172582962997694,25.351534568202624,26.185917351998796,S1 Docker后端时间,"[""mask_touches_image_border"",""visible_shell_residual_or_coverage_too_low""]",5
R04_00_wrist_charuco_20260915_104526_910331328,FDP,raw,right,available,100,5,5,5,accepted,4.797730730917493,6.784694040495115,0.6806283708088445,8.337478537823648,1.342050362520581,1.4993054067177023,1.367442029999438,1.3938187295989337,,FDP完整客户端时间,[],0
R04_00_wrist_charuco_20260915_104526_910331328,V5-original,lingbot,right,available,100,5,0,0,rejected,,,,,,,22.415390905000095,22.441521187799662,23.226581832001102,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_00_wrist_charuco_20260915_104526_910331328,BCM,lingbot,right,available,100,5,0,0,rejected,,,,,,,21.92532344099891,22.135338068399868,22.976014417999977,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_00_wrist_charuco_20260915_104526_910331328,R1,lingbot,right,available,100,5,0,0,rejected,,,,,,,0.7944289200022467,0.8029793904010148,1.8707420600003388,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_00_wrist_charuco_20260915_104526_910331328,RM,lingbot,right,available,100,5,0,0,rejected,,,,,,,4.72539318300187,4.752251239399629,5.7814922370016575,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_00_wrist_charuco_20260915_104526_910331328,R1F,lingbot,right,available,100,5,0,0,rejected,,,,,,,22.823246698997536,22.920590794801683,23.830537728998024,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",5
R04_10_wrist_charuco_20260915_105839_488564574,FDP,raw,right,available,100,5,5,5,accepted,6.24595421930374,0.14473836115760919,5.394521234331151,8.254317212857673,1.3603220623497236,1.591822832919996,1.3802798300002905,1.3839834181999322,,FDP完整客户端时间,[],0
R04_10_wrist_charuco_20260915_105839_488564574,V5-original,lingbot,right,available,100,5,0,0,rejected,,,,,,,25.486525478001568,25.841463267200016,26.28514897199784,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_10_wrist_charuco_20260915_105839_488564574,BCM,lingbot,right,available,100,5,0,0,rejected,,,,,,,25.308826480999414,25.479597787200326,26.335427827001695,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_10_wrist_charuco_20260915_105839_488564574,R1,lingbot,right,available,100,5,0,0,rejected,,,,,,,1.326240885999141,1.33579026800071,2.3720135199982906,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_10_wrist_charuco_20260915_105839_488564574,RM,lingbot,right,available,100,5,0,0,rejected,,,,,,,4.801991606000229,4.844098341399513,5.832477446001576,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R04_10_wrist_charuco_20260915_105839_488564574,R1F,lingbot,right,available,100,5,0,0,rejected,,,,,,,26.763894461000746,26.87458582459876,27.839983314002893,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",5
