frame,group,accepted,algorithm_s,center_vs_baseline_mm,yaw_vs_baseline_deg,center_vs_FDP_mm,yaw_vs_FDP_deg,rim_vs_FDP_mm,short_edge_max_vs_FDP_mm,reasons,best_sources
D04,CM,True,12.311266971000009,0.0,0.0,11.283609751046402,1.1365534845041756,12.002796613609888,20.45387635572795,,['mesh_coarse_projection']
D04,BM,True,8.100285432000078,0.7832524656506131,0.06840868332086197,11.925843306082804,1.0681448011833137,12.507700653449628,20.845755810300794,,['mesh_coarse_projection']
D04,M,True,6.860475920999988,0.7832524656506131,0.06840868332086197,11.925843306082804,1.0681448011833137,12.507700653449628,20.845755810300794,,['mesh_coarse_projection']
D05,BCM,True,16.945701864999933,0.0,0.0,9.605058495946672,1.372213432009553,9.842767615228052,15.506369308006182,,['mesh_coarse_projection']
D05,CM,True,11.05391120999991,0.0,0.0,9.605058495946672,1.372213432009553,9.842767615228052,15.506369308006182,,['mesh_coarse_projection']
D05,BM,True,10.495231790000048,1.2684952347038898,0.0033586815770373446,9.19239791950487,1.3755721135865902,9.400835519926176,14.872042253820306,,['mesh_coarse_projection']
D05,M,True,4.501111009000056,1.2684952347038898,0.0033586815770373446,9.19239791950487,1.3755721135865902,9.400835519926176,14.872042253820306,,['mesh_coarse_projection']
D06,BCM,True,14.7308490690001,0.0,0.0,10.247553047461569,0.7366538998367566,11.38252036099856,16.542035038576593,,['mesh_coarse_projection']
D06,CM,True,13.03038657400009,0.0,0.0,10.247553047461569,0.7366538998367566,11.38252036099856,16.542035038576593,,['mesh_coarse_projection']
D06,BM,True,7.443382995999968,0.0,0.0,10.247553047461569,0.7366538998367566,11.38252036099856,16.542035038576593,,['mesh_coarse_projection']
D06,M,True,5.892993607999983,0.0,0.0,10.247553047461569,0.7366538998367566,11.38252036099856,16.542035038576593,,['mesh_coarse_projection']
D07,BCM,True,16.16755916799991,0.0,0.0,8.078622064254048,1.5665495932461908,9.053901906657636,16.887636061916677,,['mesh_coarse_projection']
D07,CM,True,11.314179398999954,0.15685036635482486,0.04101684562770594,8.110886574225848,1.5255327476184848,9.043386078079514,16.77439592830558,,['mesh_coarse_projection']
D07,BM,True,9.23735840400002,0.15685036635482486,0.04101684562770594,8.110886574225848,1.5255327476184848,9.043386078079514,16.77439592830558,,['mesh_coarse_projection']
D07,M,True,4.451158573000043,0.15685036635482486,0.04101684562770594,8.110886574225848,1.5255327476184848,9.043386078079514,16.77439592830558,,['mesh_coarse_projection']
D08,BCM,True,16.299488309000026,0.0,0.0,8.64737747110876,0.12406377216449561,11.945674053176406,13.020355348586744,,['B_rim']
D08,CM,False,11.665572929000064,26.6519892641423,73.1285327808846,32.75843437383251,73.00446900872008,34.48215183667443,267.5887861798945,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D08,BM,True,10.782967207999945,0.0,0.0,8.64737747110876,0.12406377216449561,11.945674053176406,13.020355348586744,,['B_rim']
D08,M,False,6.127482343999986,26.6519892641423,73.1285327808846,32.75843437383251,73.00446900872008,34.48215183667443,267.5887861798945,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D09,BCM,True,17.404732910000007,0.0,0.0,8.876458552151602,0.8476053631544676,11.248329137121322,14.942012726518422,,['C_multiplane_joint']
D09,CM,True,11.243774367000015,0.0,0.0,8.876458552151602,0.8476053631544676,11.248329137121322,14.942012726518422,,['C_multiplane_joint']
D09,BM,True,11.719179728999961,0.15903703702708483,0.06369066175482685,8.748810528205572,0.9112960249092944,11.123672000475146,15.006630393516783,,['B_rim']
D09,M,False,6.48178735099998,27.86491438936143,75.05514973144273,35.77298876316189,74.20754436828825,37.78668072458767,276.2395160532544,visible_shell_residual_or_coverage_too_low,['mesh_coarse_projection']
D10,BCM,True,19.869405909999955,0.0,0.0,7.552446668974234,1.2431449680206725,7.7587665755197,12.053199649999046,,['mesh_coarse_projection']
D10,CM,True,13.48151529100005,0.0,0.0,7.552446668974234,1.2431449680206725,7.7587665755197,12.053199649999046,,['mesh_coarse_projection']
D10,BM,True,14.221496047999949,0.0,0.0,7.552446668974234,1.2431449680206725,7.7587665755197,12.053199649999046,,['mesh_coarse_projection']
D10,M,True,7.533178844000076,0.0,0.0,7.552446668974234,1.2431449680206725,7.7587665755197,12.053199649999046,,['mesh_coarse_projection']
D11,BCM,True,19.65251803199999,0.0,0.0,10.077755049294327,1.239875003554627,10.373435305172396,15.812172349442065,,['mesh_coarse_projection']
D11,CM,True,13.635334166000007,0.0,0.0,10.077755049294327,1.239875003554627,10.373435305172396,15.812172349442065,,['mesh_coarse_projection']
D11,BM,True,13.071414638000078,0.0,0.0,10.077755049294327,1.239875003554627,10.373435305172396,15.812172349442065,,['mesh_coarse_projection']
D11,M,True,6.84058916999993,0.0,0.0,10.077755049294327,1.239875003554627,10.373435305172396,15.812172349442065,,['mesh_coarse_projection']
D12,BCM,False,19.40378343799989,0.0,0.0,17.92523233588406,2.1508156338951427,23.670124523906118,29.851096180539052,visible_shell_residual_or_coverage_too_low;mask_touches_image_border,['C_multiplane_joint']
D12,CM,False,11.154149268999845,0.0,0.0,17.92523233588406,2.1508156338951427,23.670124523906118,29.851096180539052,visible_shell_residual_or_coverage_too_low;mask_touches_image_border,['C_multiplane_joint']
D12,BM,False,15.002257968000094,0.10419863219538715,0.02292632929656984,17.947348674490573,2.127889304598573,23.69350776407179,29.795360226885844,visible_shell_residual_or_coverage_too_low;mask_touches_image_border,['B_rim']
D12,M,False,6.454483646000085,17.61954058119456,70.5299671819016,31.811121247512933,72.68078281579675,36.66347236904464,273.24001889690777,visible_shell_residual_or_coverage_too_low;mask_touches_image_border;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
